Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
2012-07-27,34288.98047,34692.57813,34288.98047,34671.0,34671.0,0.0,2426.9700000000003
2012-07-30,34671.0,34958.58984,34638.33984,34958.58984,34958.58984,0.0,2447.1012888000005
2012-07-31,34958.58984,35035.76172,34525.64063,34596.89844,34596.89844,0.0,2421.7828908
2012-08-01,34596.89844,35070.66016,34596.89844,35070.66016,35070.66016,0.0,2454.9462112
2012-08-02,35070.66016,35240.0,34886.19141,35033.08984,35033.08984,0.0,2452.3162888
2012-08-03,35033.08984,35344.17969,34875.69922,35244.21875,35244.21875,0.0,2467.0953125
2012-08-06,35244.21875,35469.17969,35156.98047,35469.17969,35469.17969,0.0,2482.8425783
2012-08-07,35469.17969,35621.10938,35380.83984,35487.26172,35487.26172,0.0,2484.1083204000006
2012-08-08,35487.26172,35757.10938,35414.44141,35494.64063,35494.64063,0.0,2484.6248441
2012-08-09,35494.64063,35494.64063,35494.64063,35494.64063,35494.64063,0.0,2484.6248441
2012-08-10,35494.64063,35574.51172,35336.96875,35574.51172,35574.51172,0.0,2490.2158204
2012-08-13,35574.51172,35574.51172,35403.05859,35417.94141,35417.94141,0.0,2479.2558987
2012-08-14,35417.94141,35646.96094,35417.94141,35564.33984,35564.33984,0.0,2489.5037888
2012-08-15,35564.33984,35564.33984,35375.82813,35543.92969,35543.92969,0.0,2488.0750783
2012-08-16,35543.92969,35743.23047,35510.51172,35743.23047,35743.23047,0.0,2502.0261329000004
2012-08-17,35743.23047,35865.10938,35544.42969,35547.32813,35547.32813,0.0,2488.3129691000004
2012-08-20,35547.32813,35729.96875,35463.46094,35471.07031,35471.07031,0.0,2482.9749217000003
2012-08-21,35471.07031,35889.57031,35471.07031,35832.83984,35832.83984,0.0,2508.2987888
2012-08-22,35832.83984,35832.83984,35616.71094,35616.71094,35616.71094,0.0,2493.1697658
2012-08-23,35616.71094,35865.10938,35616.71094,35843.92188,35843.92188,0.0,2509.0745316
2012-08-24,35843.92188,35867.39844,35655.92969,35794.12109,35794.12109,0.0,2505.5884763000004
2012-08-28,35897.69141,35936.08984,35767.69922,35767.69922,35767.69922,0.0,2503.7389454000004
2012-08-29,35767.69922,35836.28125,35532.0,35737.17969,35737.17969,0.0,2501.6025783
2012-08-30,35737.17969,35737.17969,35294.37109,35307.35156,35307.35156,0.0,2471.5146092000005
2012-08-31,35307.35156,35507.73828,35176.17188,35389.44922,35389.44922,0.0,2477.2614454000004
2012-09-03,35389.44922,35560.44922,35228.92188,35485.10156,35485.10156,0.0,2483.957109200001
2012-09-04,35485.10156,35529.60156,35117.05859,35161.01172,35161.01172,0.0,2461.2708204000005
2012-09-05,35161.01172,35261.0,34985.87109,35045.55078,35045.55078,0.0,2453.1885546
2012-09-06,35045.55078,35674.73047,35045.55078,35674.73047,35674.73047,0.0,2497.2311329000004
2012-09-07,35674.73047,35789.26172,35587.17969,35744.25,35744.25,0.0,2502.0975000000003
