Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
1997-08-08,1205.952026,1216.561035,1201.358032,1206.052979,1206.052979,0.0,192.96847664
1997-08-11,1206.456055,1206.759033,1182.447021,1184.083008,1184.083008,0.0,189.45328128000003
1997-08-12,1177.260986,1183.436035,1145.748047,1146.80896,1146.80896,0.0,183.4894336
1997-08-13,1139.245972,1153.494995,1118.202026,1120.126953,1120.126953,0.0,179.22031248
1997-08-14,1120.470947,1168.334961,1120.244995,1168.113037,1168.113037,0.0,186.89808592000003
1997-08-15,1174.182983,1174.881958,1133.890015,1143.063965,1143.063965,0.0,182.89023440000005
1997-08-18,1139.605957,1139.605957,1116.147949,1134.634033,1134.634033,0.0,181.54144528
1997-08-19,1134.616943,1143.20105,1128.109009,1132.905029,1132.905029,0.0,181.26480464
1997-08-20,1135.050049,1144.645996,1133.741943,1144.639038,1144.639038,0.0,183.14224608
1997-08-21,1148.386963,1165.218018,1147.81604,1164.545044,1164.545044,0.0,186.32720704
1997-08-22,1159.385986,1174.485962,1156.82605,1171.833008,1171.833008,0.0,187.49328128
1997-08-25,1175.444946,1184.333984,1175.384033,1184.095947,1184.095947,0.0,189.45535152
1997-08-26,1186.06897,1194.130981,1181.243042,1194.042969,1194.042969,0.0,191.04687504
1997-08-27,1195.427979,1199.473999,1188.331055,1198.512939,1198.512939,0.0,191.76207024
1997-08-28,1201.05896,1216.07605,1194.675049,1213.891968,1213.891968,0.0,194.22271488
1997-08-29,1214.310059,1223.071045,1209.479004,1221.063965,1221.063965,0.0,195.3702344
1997-09-01,1224.177002,1230.06604,1219.100952,1229.86499,1229.86499,0.0,196.7783984
1997-09-02,1228.474976,1232.69104,1215.921997,1226.302979,1226.302979,0.0,196.20847664
1997-09-03,1223.620972,1243.32605,1223.46106,1240.819946,1240.819946,0.0,198.53119136
1997-09-04,1245.775024,1253.152954,1245.640015,1251.297974,1251.297974,0.0,200.20767584
1997-09-05,1250.604004,1253.349976,1241.217041,1251.550049,1251.550049,0.0,200.24800784
1997-09-08,1253.14502,1257.54895,1245.744019,1255.229004,1255.229004,0.0,200.83664064
1997-09-09,1255.18103,1257.927002,1230.442017,1231.026978,1231.026978,0.0,196.96431648
1997-09-10,1230.426025,1256.041016,1227.642944,1256.041016,1256.041016,0.0,200.96656256
1997-09-11,1260.519043,1264.489014,1236.113037,1242.713013,1242.713013,0.0,198.83408208
1997-09-12,1240.495972,1247.907959,1207.831055,1208.697021,1208.697021,0.0,193.39152336
1997-09-15,1205.901001,1211.68396,1175.947998,1179.286011,1179.286011,0.0,188.68576176
1997-09-16,1182.756958,1193.847046,1181.168945,1187.219971,1187.219971,0.0,189.95519536
1997-09-17,1188.88501,1191.295044,1162.243042,1167.557007,1167.557007,0.0,186.80912112
1997-09-18,1169.670044,1181.748047,1164.64502,1172.365967,1172.365967,0.0,187.57855472
1997-09-19,1174.769043,1185.089966,1168.869019,1184.520996,1184.520996,0.0,189.52335936
1997-09-22,1184.493042,1185.099976,1102.616943,1103.973999,1103.973999,0.0,176.63583984000002
1997-09-23,1096.187012,1105.281982,1025.130005,1041.964966,1041.964966,0.0,166.71439456000002
1997-09-24,1064.661011,1110.107056,1064.661011,1110.011963,1110.011963,0.0,177.60191408
1997-09-25,1118.369019,1130.125977,1106.245972,1117.01001,1117.01001,0.0,178.7216016
1997-09-26,1118.689941,1118.94104,1094.42395,1109.634033,1109.634033,0.0,177.54144528
1997-09-29,1106.342041,1106.342041,1079.339966,1084.072021,1084.072021,0.0,173.45152335999998
1997-09-30,1083.41394,1100.385986,1083.232056,1097.383057,1097.383057,0.0,175.58128912
1997-10-06,1100.699951,1105.411011,1091.151978,1098.902954,1098.902954,0.0,175.82447263999998
1997-10-07,1098.293945,1102.712036,1087.017944,1102.572998,1102.572998,0.0,176.41167968000002
1997-10-08,1122.968018,1140.937012,1116.713013,1134.868042,1134.868042,0.0,181.57888672
1997-10-09,1134.590942,1138.656982,1120.088013,1122.465942,1122.465942,0.0,179.59455072
